song_id,song_title,spotify_id,lastfm_url
1,"Good Good Trees",,NULL
3,"Jingle Snowman on the Hill",,NULL
4,"My mama don't know I play at home",NULL,NULL
5,"Milkman Blues",NULL,"BIG URL"
6,"Milkman Blues",NULL,"small url"
8,"Milkman Blues",NULL,"MeDiUm UrL"
9,Fire,NULL,https://www.last.fm/music/The+Black+Seeds/_/Fire
10,"Just Jammin'",NULL,https://www.last.fm/music/Gramatik/_/Just+Jammin%27
11,"Giddy Up",NULL,https://www.last.fm/music/Tahuna+Breaks/_/Giddy+Up
12,"The Nod",NULL,https://www.last.fm/music/Fat+Freddy%27s+Drop/_/The+Nod
13,"Lady Day and John Coltrane",NULL,https://www.last.fm/music/Gil+Scott-Heron/_/Lady+Day+and+John+Coltrane
14,"Ain't Got Time To Waste",NULL,https://www.last.fm/music/Aim/_/Ain%27t+Got+Time+To+Waste
15,"Hold This Down (feat. Dean Curtis)",NULL,https://www.last.fm/music/Roman+Scott/_/Hold+This+Down+(feat.+Dean+Curtis)
16,"Dancing on My Own",NULL,https://www.last.fm/music/Robyn/_/Dancing+on+My+Own
17,"The Boston Rag",NULL,https://www.last.fm/music/Steely+Dan/_/The+Boston+Rag
18,"You Need Love",NULL,https://www.last.fm/music/Candye+Kane/_/You+Need+Love
19,"Don't You Know",NULL,https://www.last.fm/music/Gramatik/_/Don%27t+You+Know
20,"Hey Laura",NULL,https://www.last.fm/music/Gregory+Porter/_/Hey+Laura
21,Mexico,NULL,https://www.last.fm/music/Cruzados/_/Mexico
22,"Pretty Wasted",NULL,https://www.last.fm/music/Tito+&+Tarantula/_/Pretty+Wasted
23,"Axel F",NULL,https://www.last.fm/music/Harold+Faltermeyer/_/Axel+F
24,"The Future Soon",NULL,https://www.last.fm/music/Jonathan+Coulton/_/The+Future+Soon
25,"Jack Sparrow",NULL,https://www.last.fm/music/The+Lonely+Island/_/Jack+Sparrow
26,"I'm on a Boat",NULL,https://www.last.fm/music/The+Lonely+Island/_/I%27m+on+a+Boat
27,"Dick In A Box",NULL,https://www.last.fm/music/The+Lonely+Island/_/Dick+In+A+Box
28,"Jungle - Feat. Maverick Sabre",NULL,https://www.last.fm/music/Professor+Green/_/Jungle+-+Feat.+Maverick+Sabre
29,"Baby Got Back",NULL,https://www.last.fm/music/Jonathan+Coulton/_/Baby+Got+Back
30,"Stroker Ace",NULL,https://www.last.fm/music/Lovage/_/Stroker+Ace
31,"East Side Soldier (feat. Yukmouth, Dru Down & Pooh Man)",NULL,"https://www.last.fm/music/Seagram/_/East+Side+Soldier+(feat.+Yukmouth,+Dru+Down+&+Pooh+Man)"
32,"Ain't No Love",NULL,https://www.last.fm/music/Pooh-Man/_/Ain%27t+No+Love
33,Hypnotize,NULL,https://www.last.fm/music/The+Notorious+B.I.G./_/Hypnotize
34,"Aint Coming Home Tonight",NULL,https://www.last.fm/music/The+B+Foundation/_/Aint+Coming+Home+Tonight
35,"Tequila Makes Her Clothes Fall Off",NULL,https://www.last.fm/music/Joe+Nichols/_/Tequila+Makes+Her+Clothes+Fall+Off
36,"Pickup Man",NULL,https://www.last.fm/music/Joe+Diffie/_/Pickup+Man
37,"Beer Or Gasoline",NULL,https://www.last.fm/music/Chris+Young/_/Beer+Or+Gasoline
38,"Rain Is a Good Thing",NULL,https://www.last.fm/music/Luke+Bryan/_/Rain+Is+a+Good+Thing
39,"Somethin' 'Bout a Truck",NULL,https://www.last.fm/music/Kip+Moore/_/Somethin%27+%27Bout+a+Truck
40,"All Over The Road",NULL,https://www.last.fm/music/Easton+Corbin/_/All+Over+The+Road
41,"Almost Like the Blues",NULL,https://www.last.fm/music/Leonard+Cohen/_/Almost+Like+the+Blues
42,"Northern Lights",NULL,https://www.last.fm/music/Renaissance/_/Northern+Lights
43,"Hit The Road Jack",NULL,https://www.last.fm/music/Peter+White/_/Hit+The+Road+Jack
44,"That Lady - Pts. 1 & 2",NULL,https://www.last.fm/music/The+Isley+Brothers/_/That+Lady+-+Pts.+1+&+2
45,"Wandering Eye - Radio Edit",NULL,https://www.last.fm/music/Fat+Freddy%27s+Drop/_/Wandering+Eye+-+Radio+Edit
46,"Silver Rain (feat. Joe Kibble)",NULL,"https://www.last.fm/music/Marcus+Miller,+Joe+Kibble/_/Silver+Rain+(feat.+Joe+Kibble)"
47,"Silver Rain",NULL,https://www.last.fm/music/Marcus+Miller/_/Silver+Rain
48,"The Boogie Back",NULL,https://www.last.fm/music/Roy+Ayers/_/The+Boogie+Back
49,"Boogie Stupid",NULL,https://www.last.fm/music/John+Scofield/_/Boogie+Stupid
50,"Just Don't Want To Be Lonely",NULL,https://www.last.fm/music/John+Scofield/_/Just+Don%27t+Want+To+Be+Lonely
51,"Funk in the Hole",NULL,https://www.last.fm/music/Roy+Ayers/_/Funk+in+the+Hole
52,"What A Job",NULL,https://www.last.fm/music/Devin+the+Dude/_/What+A+Job
53,"Cissy Strut",NULL,https://www.last.fm/music/The+Meters/_/Cissy+Strut
54,Romantic,NULL,https://www.last.fm/music/Soulive/_/Romantic
55,"The red one",NULL,https://www.last.fm/music/John+Scofield/_/The+red+one
56,"Doctor Doctor",NULL,https://www.last.fm/music/Labi+Siffre/_/Doctor+Doctor
57,"I Got The...",NULL,https://www.last.fm/music/Labi+Siffre/_/I+Got+The...
